u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
43.0,39.0,85.5,48.5,70.0,40.0,65.5,81.5,111.0,82.0,22.0,72.0
42.5,39.0,85.5,48.5,70.0,40.0,66.0,81.0,111.0,82.0,22.0,72.0
42.0,39.0,85.0,48.0,70.0,39.0,66.0,81.0,111.0,82.0,22.0,72.0
42.0,39.0,85.0,48.0,69.0,39.0,65.0,81.0,110.0,82.0,22.0,72.0
41.5,39.0,84.0,48.0,69.0,39.0,65.0,81.0,110.0,82.0,21.0,72.0
41.0,39.0,83.5,48.5,68.0,39.0,65.0,81.0,110.0,82.0,21.0,72.0
41.0,39.0,83.5,48.5,68.0,39.0,64.0,81.0,109.0,82.0,20.5,72.0
40.0,39.0,83.0,49.0,67.0,40.0,63.0,82.0,107.5,82.5,20.0,73.0
40.0,40.0,82.5,49.0,67.0,40.0,63.0,82.0,107.0,83.0,20.0,73.0
39.0,40.0,82.0,50.0,66.0,41.0,62.5,82.5,107.0,83.5,19.0,74.0
39.0,41.0,81.0,50.0,66.0,41.0,62.0,83.0,106.0,84.0,18.0,74.0
38.0,42.0,81.0,51.5,65.0,42.0,62.0,84.0,106.0,85.0,17.0,75.0
37.0,42.0,80.0,52.0,64.0,43.0,61.0,84.0,105.0,86.0,17.0,76.0
37.0,43.5,80.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.5
37.0,44.5,79.5,53.5,63.0,44.0,60.0,86.0,104.0,87.0,15.5,77.5
37.0,45.0,79.0,54.0,62.5,45.5,59.0,87.0,103.0,88.0,15.0,78.0
36.0,46.0,78.5,55.0,62.0,46.0,58.5,87.5,103.0,88.0,15.0,79.0
36.0,46.0,78.5,55.5,62.0,46.5,59.0,88.0,102.0,89.0,14.5,79.5
36.0,47.0,78.0,56.0,61.5,48.0,58.5,89.0,102.0,90.0,14.5,80.0
36.0,48.0,78.0,57.0,61.5,48.0,58.5,89.5,102.0,90.5,14.5,81.0
36.0,48.0,78.0,57.5,61.0,49.0,58.5,89.5,102.0,91.0,14.5,81.5
36.0,49.0,78.0,58.0,61.0,49.0,58.5,90.0,102.0,91.5,14.0,82.0
36.0,49.0,78.0,58.0,61.0,50.0,58.5,90.5,102.0,92.0,14.5,82.0
36.5,49.5,78.0,59.0,61.0,50.0,58.5,91.0,102.0,92.0,15.0,83.0
37.0,50.0,78.0,59.0,61.0,50.0,58.5,91.5,102.0,92.0,14.5,83.0
37.0,50.0,78.5,59.5,62.0,50.0,58.5,91.5,102.5,92.5,15.0,83.0
37.0,50.0,78.5,59.5,62.0,50.0,58.5,91.5,103.0,93.0,15.0,83.0
37.0,50.0,78.5,59.5,62.0,50.0,59.0,91.5,103.0,93.0,15.0,83.0
37.0,50.0,78.5,59.5,62.0,50.0,59.5,91.5,102.5,92.5,16.0,83.0
37.0,50.0,79.0,59.0,62.0,50.0,60.0,91.0,103.5,92.0,16.0,83.0
37.5,49.5,79.5,58.5,62.0,50.0,60.0,91.0,104.0,92.0,16.0,82.0
38.0,50.0,79.5,58.5,62.0,50.0,60.0,91.0,104.0,92.0,16.5,82.0
38.0,49.0,80.0,57.5,48.0,87.5,60.5,90.0,104.0,91.5,16.5,81.5
38.0,48.0,80.0,57.5,63.5,49.0,60.5,89.5,104.0,91.5,16.5,81.5
38.0,48.0,80.5,57.0,64.0,49.0,60.5,89.5,104.5,91.0,16.5,81.0
38.0,48.0,81.0,57.0,63.0,48.0,60.5,89.0,104.5,90.0,17.0,80.0
38.0,46.0,80.0,55.5,64.0,47.0,60.5,88.0,104.0,89.5,17.0,79.5
37.5,45.5,80.0,55.5,64.0,47.0,60.5,87.5,104.5,89.0,17.0,79.0
37.5,45.5,80.5,55.0,62.5,46.0,60.0,87.0,104.0,88.0,16.5,78.5
37.0,44.0,80.0,54.0,64.0,45.0,60.0,86.0,104.0,88.0,16.0,78.0
36.5,44.0,79.5,53.5,63.5,44.0,60.0,86.0,103.5,87.0,15.5,77.5
36.0,43.0,79.0,53.0,63.0,44.0,59.5,85.5,103.0,86.0,15.0,77.0
36.0,43.0,78.5,52.5,63.0,44.0,59.0,85.0,103.0,86.0,15.0,76.0
35.0,42.5,78.0,52.0,63.0,43.0,58.5,84.5,102.5,85.5,14.0,76.0
35.0,42.0,78.0,52.0,62.0,42.5,58.5,84.0,102.0,85.0,13.5,75.5
35.0,42.0,77.5,51.5,62.0,42.0,58.0,84.0,102.0,85.0,13.5,75.0
34.0,42.0,77.5,51.5,61.0,42.0,58.0,84.0,101.0,85.0,13.0,75.0
33.5,41.5,77.0,51.0,61.0,42.0,57.5,83.5,101.0,84.0,13.0,75.0
33.5,41.5,76.5,51.0,61.0,42.0,57.0,84.0,101.0,84.0,12.0,75.0
33.0,41.0,76.0,51.0,61.0,42.0,57.0,84.0,101.0,84.0,12.0,75.0
33.0,41.0,76.0,51.0,61.0,42.0,57.0,84.0,101.0,84.0,12.0,75.0
33.0,42.0,76.0,51.5,60.0,42.0,57.0,84.0,100.5,84.5,12.0,75.0
33.0,42.0,76.0,51.5,60.0,42.0,57.0,84.0,100.0,85.0,12.0,75.0
33.0,42.0,77.0,52.0,60.5,42.5,57.0,84.0,101.0,85.0,12.0,76.0
33.5,42.5,77.0,52.0,61.0,43.0,57.0,84.0,101.0,85.0,13.0,76.0
34.0,43.0,77.0,52.0,61.0,43.0,58.0,85.0,101.5,85.5,13.0,76.0
35.0,43.0,77.0,53.0,62.0,43.5,58.0,85.0,102.0,86.0,14.0,76.0
35.0,43.0,78.0,53.0,62.0,44.0,58.0,85.0,102.0,86.0,14.0,77.0
36.0,43.0,78.0,53.0,62.5,44.0,59.0,85.5,103.0,86.5,15.0,77.0
36.5,44.0,78.5,53.5,63.0,44.0,60.0,86.0,104.0,87.0,15.5,77.5
37.0,44.0,79.5,53.5,64.0,45.0,60.0,86.0,104.0,87.0,16.0,77.5
38.0,44.0,80.0,53.5,64.0,45.0,61.0,86.0,105.0,87.0,17.5,77.5
38.0,45.0,80.5,54.0,65.0,45.0,62.0,86.5,105.0,87.0,18.0,78.0
39.0,44.5,81.5,54.0,65.0,45.0,62.0,86.5,106.0,88.0,19.0,78.0
40.0,44.5,82.0,54.0,65.5,45.0,62.5,86.5,106.0,88.0,19.0,78.0
40.0,44.5,82.0,54.0,66.0,45.0,62.5,86.5,106.5,87.5,20.0,78.0
40.0,45.0,82.5,54.5,66.0,45.5,63.0,86.5,107.0,88.0,20.0,78.0
40.5,45.0,82.5,54.5,66.0,45.5,63.0,86.5,107.0,88.0,20.0,78.0
40.5,45.0,83.0,54.0,66.0,45.5,63.0,86.5,107.0,88.0,20.5,78.0
41.0,45.0,83.0,54.0,66.5,45.0,63.0,86.5,107.5,88.0,20.5,78.0
41.0,44.5,83.0,54.0,67.0,45.0,63.0,86.0,108.0,88.0,20.0,77.0
41.0,44.5,83.0,54.0,67.0,45.0,63.0,86.0,107.5,87.5,20.0,77.0
41.0,44.0,83.0,54.0,67.0,45.0,63.0,86.0,107.5,87.0,20.0,77.0
41.0,44.0,83.0,54.0,67.0,45.0,63.0,86.0,107.5,87.0,20.0,77.0
41.0,44.0,82.5,53.0,66.0,45.0,63.0,86.0,107.0,87.0,20.0,77.0
40.0,44.0,82.5,52.5,66.0,45.5,63.0,86.0,107.0,87.0,20.0,77.0
39.5,44.0,82.0,53.0,65.0,45.0,63.0,86.0,106.0,87.0,19.0,77.0
39.0,44.0,82.0,53.0,65.0,45.0,62.0,86.0,106.0,87.0,18.0,77.0
38.0,43.5,80.5,53.5,64.5,44.5,61.5,85.5,105.0,87.0,17.0,77.0
37.0,44.0,79.5,53.5,64.0,44.0,60.0,86.0,104.0,87.0,16.0,77.0
36.0,44.0,79.0,54.0,63.0,44.0,59.0,86.0,103.0,87.0,15.0,77.5
35.0,44.0,78.0,53.5,62.0,45.0,58.0,86.0,102.0,87.0,14.0,77.0
34.0,45.0,76.5,54.0,60.0,45.0,57.0,86.0,100.0,87.0,12.5,78.0
33.0,45.0,75.0,55.0,59.0,46.0,56.0,87.0,100.0,88.0,11.0,78.0
32.0,45.0,74.5,54.5,58.5,46.0,55.0,87.0,98.0,88.0,11.0,79.0
31.0,46.0,73.5,55.5,57.0,46.0,54.5,87.5,97.5,88.0,10.0,79.0
31.0,46.0,73.0,55.0,57.0,46.0,54.0,88.0,97.0,89.0,9.0,80.0
30.0,47.0,73.0,56.0,56.0,47.0,53.0,88.0,96.0,89.0,8.0,80.5
29.5,47.5,72.5,56.5,56.0,48.0,52.5,89.5,95.5,90.0,8.0,81.0
29.0,48.0,72.0,57.5,55.0,48.0,52.5,89.5,94.5,90.5,7.0,82.0
28.5,48.0,71.0,58.0,54.5,48.0,52.0,90.0,95.0,91.0,7.0,82.0
28.0,49.0,70.5,58.5,54.5,49.5,51.0,91.0,94.0,91.0,6.0,83.0
28.5,49.5,71.0,59.0,54.0,50.0,51.0,91.0,94.0,92.0,6.0,83.5
28.5,50.0,70.5,59.5,54.0,50.0,51.0,91.5,93.5,92.5,6.0,84.0
28.5,50.5,70.5,59.5,54.0,51.0,51.0,92.0,94.0,93.0,6.0,84.0
29.0,51.0,71.0,60.0,54.0,51.0,51.0,92.0,94.0,93.0,6.0,84.5
29.0,51.0,71.0,60.0,54.0,51.0,51.5,92.5,94.0,93.0,6.0,85.0
29.0,51.0,71.0,60.5,55.0,51.0,51.5,92.5,94.5,93.5,6.5,85.0
29.5,51.5,72.0,61.0,54.5,51.5,52.0,92.5,94.5,93.5,7.0,85.0
30.0,51.0,72.0,60.5,55.0,51.5,52.0,93.0,95.0,94.0,7.0,85.0
30.5,51.5,72.5,60.5,56.0,51.0,53.0,93.0,95.0,94.0,8.0,85.0
30.5,51.5,73.0,61.0,56.0,52.0,53.0,93.0,96.0,94.0,8.5,85.0
31.0,51.0,73.5,60.5,57.0,51.0,54.0,93.0,96.5,93.5,9.0,85.0
32.0,51.0,74.0,60.0,57.0,51.0,54.5,92.0,97.0,93.0,10.0,84.0
32.5,50.5,74.5,59.5,58.0,50.5,55.0,92.0,98.0,93.0,10.0,84.0
33.0,50.0,74.5,59.5,58.0,50.0,55.5,91.5,99.0,93.0,11.0,83.5
33.5,49.5,75.5,59.0,59.0,50.0,56.5,91.5,99.0,92.0,12.0,83.0
34.0,49.0,76.5,58.5,60.0,49.0,57.0,91.0,100.0,92.0,12.0,82.0
34.5,48.5,76.5,57.5,60.0,49.0,57.0,90.0,100.5,91.5,13.0,81.5
34.5,47.5,77.0,57.5,60.5,48.0,58.0,90.0,101.0,91.0,13.5,81.0
35.0,47.5,77.5,56.5,61.0,48.0,58.0,89.0,101.5,90.0,14.0,80.5
35.5,46.5,78.0,56.0,62.0,47.0,58.5,88.0,102.0,89.5,14.5,80.0
36.0,45.5,78.5,55.5,62.0,46.0,58.5,87.5,102.5,89.0,15.0,79.0
36.5,45.5,78.5,55.0,62.0,46.0,59.0,87.5,102.5,88.0,15.0,79.0
36.5,45.0,78.5,54.0,62.0,46.0,59.5,86.5,103.5,87.5,15.0,78.0
37.0,44.0,79.5,53.5,63.0,45.0,60.0,86.0,103.5,87.0,15.5,77.5
37.0,44.0,79.5,53.5,63.0,44.0,60.0,85.5,104.0,87.0,16.0,77.0
37.0,43.0,79.0,53.0,63.0,44.0,60.0,85.5,104.0,86.0,16.0,77.0
37.0,43.0,79.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.0
37.0,43.0,79.0,52.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.0
36.5,42.5,79.0,52.0,64.0,43.0,60.0,85.0,104.0,86.0,16.0,76.0
36.5,42.5,79.0,52.0,64.0,43.0,60.0,84.5,104.0,86.0,15.5,76.0
36.5,42.5,79.0,52.0,63.0,43.0,60.0,85.0,104.0,86.0,15.5,76.0
36.5,42.5,79.0,52.0,63.0,44.0,60.0,85.0,104.0,86.0,15.5,76.0
37.0,43.0,79.0,52.0,63.0,44.0,60.0,85.0,104.0,86.0,15.0,76.0
36.0,43.0,79.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,15.5,77.0
36.5,43.5,79.5,53.5,63.0,44.0,60.0,86.0,104.0,87.0,15.5,77.0
36.5,44.0,79.5,53.5,63.0,45.0,60.0,86.0,104.0,87.0,15.5,77.5
36.5,45.0,79.0,54.0,63.0,46.0,60.0,87.0,104.0,88.0,16.0,78.0
37.0,45.5,80.0,55.0,63.0,46.0,60.0,87.5,104.0,88.0,16.0,79.0
37.0,45.5,80.0,55.5,63.5,46.5,60.5,87.5,104.0,88.5,17.0,79.0
37.5,46.5,80.0,55.5,64.0,47.0,60.5,88.0,105.0,89.0,17.0,80.0
38.0,47.0,81.0,56.0,64.0,47.0,61.0,89.0,105.0,90.0,17.0,80.0
38.5,47.5,81.0,57.0,64.0,48.0,61.5,89.5,105.0,91.0,18.0,81.0
39.5,47.5,81.0,57.0,64.5,48.5,61.5,89.5,105.0,91.0,18.5,81.0
39.0,48.0,81.5,57.5,64.0,49.0,62.0,90.0,105.0,91.0,19.0,81.0
40.0,49.0,82.0,58.0,65.0,49.0,62.5,90.5,106.0,92.0,19.0,82.0
40.0,49.0,82.0,58.0,65.0,50.0,62.5,90.5,106.0,92.0,19.0,82.0
40.5,48.5,82.5,58.5,66.0,50.0,62.5,90.5,106.5,92.5,20.0,82.5
41.0,49.0,82.5,58.5,66.0,50.0,63.0,91.0,107.0,92.5,20.0,82.0
41.0,49.0,82.5,58.5,66.0,50.0,63.0,90.5,107.0,92.5,20.5,82.5
